지역,노인인구수,시설수,정원,현원
수원시,131936,8,1512,1398
성남시,133221,7,913,838
의정부시,70369,2,56,42
안양시,75581,1,8,5
부천시,111952,1,6,0
광명시,41683,1,40,29
평택시,66486,4,133,62
동두천시,19397,0,0,0
안산시,71620,8,109,79
고양시,145710,9,390,225
과천시,8994,1,60,51
구리시,26962,0,0,0
남양주시,100537,7,229,161
오산시,22060,0,0,0
시흥시,46782,4,66,38
군포시,36416,0,0,0
의왕시,22280,3,80,40
하남시,37573,2,320,280
용인시,143096,3,2154,2041
파주시,64915,4,60,36
이천시,31134,3,59,45
안성시,32844,7,487,274
김포시,58124,2,29,14
화성시,76180,9,223,121
광주시,51079,3,0,24
양주시,36245,1,12,8
포천시,29314,9,363,138
여주시,24475,7,437,230
연천군,11490,1,12,3
가평군,16324,4,215,163
양평군,30536,6,65,64
