,공원명,공원구분,소재지지번주소,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),관리기관명
0,승지공원,근린공원,경기도 시흥시 능곡동 552,,조합놀이대,,도서관,,경기도 시흥시청
1,고촌어린이19(수기1공원),어린이공원,경기도 김포시 고촌읍 신곡리 1249,,조합놀이대+그네,,,,경기도 김포시 공원관리과
2,고촌어린이20(수기2공원),어린이공원,경기도 김포시 고촌읍 신곡리 1260,체력단련시설,조합놀이대+그네,,,,경기도 김포시 공원관리과
3,고촌어린이21(수기3공원),어린이공원,경기도 김포시 고촌읍 신곡리 1268,,조합놀이대+그네,,,,경기도 김포시 공원관리과
4,항공소공원1,소공원,경기도 김포시 대곶면 대벽리 산66-56,,,,,,경기도 김포시 공원녹지과
5,걸포어린이22,어린이공원,경기도 김포시 걸포동 1560,,조합놀이대,,,,경기도 김포시 공원관리과
6,신곡노을공원(고촌31호),근린공원,경기도 김포시 고촌읍 신곡리 1106,체력단련시설+농구장+배드민턴장,조합놀이대,화장실,,,경기도 김포시 공원관리과
7,양산근린3,근린공원,경기도 김포시 양촌읍 학운리 3021,체력단련시설+배드민턴장,조합놀이대,,,,경기도 김포시 공원관리과
8,양산근린4,근린공원,경기도 김포시 양촌읍 학운리 3085,체력단련시설+농구장+배드민턴장+축구장,,주차장+화장실,,,경기도 김포시 공원관리과
9,고촌어린이112,어린이공원,경기도 김포시 고촌읍 태리 955-5,,,,,,경기도 김포시 공원관리과
10,광탄2호 소공원,소공원,경기도 양평군 용문면 광탄리 711,,,,,,경기도 양평군청
11,광탄3호 소공원,소공원,경기도 양평군 용문면 광탄리 762,,,,,,경기도 양평군청
12,공흥 소공원,소공원,경기도 양평군 양평읍 공흥리 885-1,,,,,,경기도 양평군청
13,한강아트로드 공원,소공원,경기도 양평군 강하면 운심리 43-25,,,,,,경기도 양평군청
14,강하 소공원,소공원,경기도 양평군 강하면 운심리 28-1,농구장+축구장+테니스장,,,,,경기도 양평군청
15,오빈12호 소공원,소공원,경기도 양평군 양평읍 오빈리 96-40,,,,,,경기도 양평군청
16,오빈13호 소공원,소공원,경기도 양평군 양평읍 오빈리 88-47,,,,,,경기도 양평군청
17,오빈14호 소공원,소공원,경기도 양평군 양평읍 오빈리 88-46,,,,,,경기도 양평군청
18,오빈15호 소공원,소공원,경기도 양평군 양평읍 오빈리 81-32,,,,,,경기도 양평군청
19,양근소공원(17호),소공원,경기도 양평군 양평읍 양근리 53-2,,,,,,경기도 양평군청
20,병산1호 소공원,소공원,경기도 양평군 강상면 병산리 138,,,,,,경기도 양평군청
21,병산2호 소공원,소공원,경기도 양평군 강상면 병산리 142-35,,,,,,경기도 양평군청
22,병산3호 소공원,소공원,경기도 양평군 강상면 병산리 40,,,,,,경기도 양평군청
23,병산4호 소공원,소공원,경기도 양평군 강상면 병산리 1205-1,,,,,,경기도 양평군청
24,양근소공원(19호),소공원,경기도 양평군 양평읍 양근리 739,,,,,,경기도 양평군청
25,양서 소공원 7,소공원,경기도 양평군 양서면 신원리 471-5,,,,,,경기도 양평군청
26,공흥 양근공원,소공원,경기도 양평군 양평읍 공흥리 456-25,,,,,,경기도 양평군청
27,공원:140(수청2지구),근린공원,충청남도 당진시 수청동 산178,,,,,,충청남도 당진시청
28,공원:141(수청2지구),어린이공원,충청남도 당진시 수청동 261,,,,,,충청남도 당진시청
29,공원:142(수청2지구),소공원,충청남도 당진시 수청동 228,,,,,,충청남도 당진시청
30,공원:143,소공원,충청남도 당진시 채운동 256-3,,,,,,충청남도 당진시청
31,공원:154(수청1지구),소공원,충청남도 당진시 수청동 368-2,,,,,,충청남도 당진시청
32,공원:144(읍내1지구),어린이공원,충청남도 당진시 읍내동 37,,,,,,충청남도 당진시청
33,공원:145(수청1지구),소공원,충청남도 당진시 수청동 591-2,,,,,,충청남도 당진시청
34,공원:146(수청1지구),어린이공원,충청남도 당진시 수청동 484-13,,,,,,충청남도 당진시청
35,공원:147(수청1지구),어린이공원,충청남도 당진시 수청동 368-1,,,,,,충청남도 당진시청
36,공원:148(수청1지구),어린이공원,충청남도 당진시 수청동 596,,,,,,충청남도 당진시청
37,공원:123(당진:26 소망공원),어린이공원,충청남도 당진시 원당동 1250,,,,,,충청남도 당진시청
38,공원:124(당진:27 사랑공원),어린이공원,충청남도 당진시 원당동 1247,,,,,,충청남도 당진시청
39,공원:125(당진:28 호서공원),어린이공원,충청남도 당진시 원당동 1176,,,,,,충청남도 당진시청
