,지역,노인인구수,시설수,정원,현원
0,서울합계,1561139,26,3060,2638
1,종로구,28311,1,57,45
2,중구,24174,2,242,242
3,용산구,39779,1,114,83
4,성동구,45435,0,0,0
5,광진구,50311,2,769,561
6,동대문구,61612,0,0,0
7,중랑구,69341,0,0,0
8,성북구,73613,1,239,238
9,강북구,63313,0,0,0
10,도봉구,62009,3,44,26
11,노원구,85420,2,124,81
12,은평구,85010,2,162,155
13,서대문구,53756,0,0,0
14,마포구,54002,1,240,240
15,양천구,65541,1,9,5
16,강서구,88733,3,517,499
17,구로구,69201,0,0,0
18,금천구,39314,2,92,79
19,영등포구,60663,0,0,0
20,동작구,64928,0,0,0
21,관악구,78430,0,0,0
22,서초구,60072,0,0,0
23,강남구,74959,2,264,237
24,송파구,93309,1,12,12
25,강동구,69903,2,175,135
26,부산 합계,657711,7,636,500
27,중구,11315,0,0,0
28,서구,27346,0,0,0
29,동구,23381,0,0,0
30,영도구,31483,0,0,0
31,부산진구,70896,0,0,0
32,동래구,49927,1,88,67
33,남구,53898,0,0,0
34,북구,49304,1,60,41
35,해운대구,70306,0,0,0
36,사하구,59570,1,40,40
37,금정구,48920,2,135,105
38,강서구,16633,1,20,9
39,연제구,40515,0,0,0
40,수영구,37610,1,293,238
41,사상구,38865,0,0,0
42,기장군,27742,0,0,0
43,대구 합계,400494,6,478,267
44,중구,15928,1,50,27
45,동구,67439,0,0,0
46,서구,38587,1,99,58
47,남구,34187,0,0,0
48,북구,64054,1,94,43
49,수성구,66564,1,80,54
50,달서구,80646,1,70,47
51,달성군,33089,1,85,38
52,인천합계,411483,21,796,553
53,중구,20531,0,0,0
54,동구,14453,0,0,0
55,미추홀구,69074,0,0,0
56,연수구,38190,1,70,19
57,남동구,71468,1,41,30
58,부평구,73424,3,50,50
59,계양구,37947,2,39,34
60,서구,58087,5,364,297
61,강화군,22824,9,232,123
62,옹진군,5485,0,0,0
63,광주합계,205666,3,167,102
64,동구,22196,1,112,64
65,서구,42471,1,40,29
66,남구,37715,0,0,0
67,북구,64829,0,0,0
68,광산구,38455,1,15,9
69,대전합계,210784,8,512,156
70,동구,42533,0,0,0
71,중구,45701,3,141,35
72,서구,61027,2,73,33
73,유성구,33654,2,292,85
74,대덕구,27869,1,6,3
75,울산합계,143367,2,114,59
76,중구,33231,0,0,0
77,남구,39173,0,0,0
78,동구,19955,0,0,0
79,북구,18025,0,0,0
80,울주군,32983,2,114,59
81,세종합계,34881,4,164,119
82,세종시,34881,4,164,119
83,경기합계,1775315,117,8038,6409
84,수원시,131936,8,1512,1398
85,성남시,133221,7,913,838
86,의정부시,70369,2,56,42
87,안양시,75581,1,8,5
88,부천시,111952,1,6,0
89,광명시,41683,1,40,29
90,평택시,66486,4,133,62
91,동두천시,19397,0,0,0
92,안산시,71620,8,109,79
93,고양시,145710,9,390,225
94,과천시,8994,1,60,51
95,구리시,26962,0,0,0
96,남양주시,100537,7,229,161
97,오산시,22060,0,0,0
98,시흥시,46782,4,66,38
99,군포시,36416,0,0,0
100,의왕시,22280,3,80,40
101,하남시,37573,2,320,280
102,용인시,143096,3,2154,2041
103,파주시,64915,4,60,36
104,이천시,31134,3,59,45
105,안성시,32844,7,487,274
106,김포시,58124,2,29,14
