,의료기관명,병원종류,주소
1,서울대학교병원,상급종합병원,서울특별시 종로구 대학로 101
2,부산대학교병원,상급종합병원,부산광역시 서구 구덕로 179
3,경북대학교병원,상급종합병원,대구광역시 중구 동덕로 130(삼덕로 2가)
4,칠곡경북대학교병원,상급종합병원,대구광역시 북구 호국로 807
5,전남대학교병원,상급종합병원,광주 동구 제봉로 42
6,충남대학교병원,상급종합병원,대전광역시 중구 문화로 282
7,분당서울대학교병원,상급종합병원,경기도 성남시 분당구 구미로 173번길 82
8,충북대학교병원,상급종합병원,충청북도 청주시 서원구 1순환로 776
9,전북대학교병원,상급종합병원,전라북도 전주시 덕진구 건지로 20 (금암동 634-18)
10,화순전남대학교병원,상급종합병원,전라남도 화순군 화순읍 서양로 322
11,경상국립대학교병원,상급종합병원,경상남도 진주시 강남로 79
12,양산부산대학교병원,상급종합병원,경남 양산시 물금읍 금오로 20
13,국립중앙의료원,종합병원,서울특별시 중구 을지로 245
14,한국원자력의학원원자력병원,종합병원,서울 노원구 노원로 75
15,경찰병원,종합병원,서울특별시 송파구 송이로 123
16,한국보훈복지의료공단 중앙보훈병원,종합병원,서울시 강동구 진황도로 61길 53 
17,서울특별시 서울의료원,종합병원,서울 중랑구 신내로 156
18,서울특별시 동부병원,종합병원,서울특별시 동대문구 무학로 124 (용두동)
19,서울특별시 보라매병원,종합병원,서울 동작구 보라매로5길 20
20,서울특별시 서남병원,종합병원,서울 양천구 신정이펜1로 20 (서울특별시서남병원)
21,서울적십자병원,종합병원,서울특별시 종로구 새문안로 9
22,동남권원자력의학원,종합병원,부산광역시 기장군 장안읍 좌동길 40 
23,한국보훈복지의료공단 부산보훈병원,종합병원,부산광역시 사상구 백양대로 420
24,부산광역시의료원,종합병원,부산광역시 연제구 월드컵대로 359
25,한국보훈복지의료공단 대구보훈병원,종합병원,대구광역시 달서구 월곡로 60
26,대구의료원,종합병원,대구광역시 서구 평리로 157
27,근로복지공단 인천병원,종합병원,인천광역시 부평구 무네미로 446(구산동)
28,인천광역시의료원,종합병원,인천 동구 방축로 217
29,한국보훈복지의료공단 광주보훈병원,종합병원,광주광역시 광산구 첨단월봉로 99
30,근로복지공단 대전병원,종합병원,대전광역시 대덕구 계족로 637(법동)
31,한국보훈복지의료공단 대전보훈병원,종합병원,대전광역시 대덕구 대청로 82번길 147
32,국립암센터,종합병원,경기도 고양시 일산동구 일산로 323번지
33,국민건강보험공단 일산병원,종합병원,경기도 고양시 일산동구 일산로 100
34,근로복지공단 안산병원,종합병원,경기 안산시 상록구 구룡로 87
35,경기도의료원 수원병원,종합병원,경기도 수원시 장안구 수성로 245번길 69
36,경기도의료원 의정부병원,종합병원,경기도 의정부시 흥선로 142 (의정부동)
37,경기도의료원 파주병원,종합병원,경기 파주시 중앙로 207
38,경기도의료원 이천병원,종합병원,경기도 이천시 경충로 2742
39,경기도의료원 안성병원,종합병원,경기도 안성시 고수2로 17번지(당왕동)
40,경기도의료원 포천병원,종합병원,경기도 포천시 포천로 1648(신읍동)
41,강원대학교병원,종합병원,강원도 춘천시 백령로 156
42,근로복지공단 정선병원,종합병원,강원 정선군 정선읍 봉양1길 145
43,강원도 원주의료원,종합병원,강원 원주시 서원대로 387
44,강원도 강릉의료원,종합병원,강원도 강릉시 경강로 2007(남문동 164-1)
45,강원도 속초의료원,종합병원,강원도 속초시 영랑동 영랑 호반길3호
46,강원도 삼척의료원,종합병원,강원도 삼척시 오십천로 418 
47,강원도 영월의료원,종합병원,강원 영월군 영월읍 중앙1로 59
48,충청북도 청주의료원,종합병원,충청북도 청주시 서원구 흥덕로 48 (사직동)
49,충청북도 충주의료원,종합병원,충청북도 충주시 안림로 239-50(안림동 134)
50,충청남도 천안의료원,종합병원,충남 천안시 동남구 충절로 537 (천안의료원)
51,충청남도 공주의료원,종합병원,충청남도 공주시 웅진로 130
52,충청남도 서산의료원,종합병원,충남 서산시 중앙로 149
53,충청남도 홍성의료원,종합병원,충청남도 홍성군 홍성읍 조양로  224
54,전라북도 군산의료원,종합병원,전라북도 군산시 의료원로 27 
55,전라북도 남원의료원,종합병원,전라북도 남원시 충정로 365번지
56,근로복지공단 순천병원,종합병원,전남 순천시 조례1길 24
57,전라남도 순천의료원,종합병원,전라남도 순천시 서문성터길 2
58,경상북도 포항의료원,종합병원,경상북도 포항시 북구 용흥로 36
59,경상북도 김천의료원,종합병원,경상북도 김천시 모암길 24(모암동 85번지)
60,경상북도 안동의료원,종합병원,경북 안동시 태사2길 55
61,상주적십자병원,종합병원,경상북도 상주시 상서문로 53
62,근로복지공단 창원병원,종합병원,경상남도 창원시 성산구 창원대로 721(중앙동)
63,경상남도 마산의료원,종합병원,경남 창원시 마산합포구 3.15대로 231 (마산의료원)
64,제주대학교병원,종합병원,제주특별자치도 아란13길 15(아라일동)
65,제주특별자치도 서귀포의료원,종합병원,제주특별자치도 서귀포시 장수로47 (동홍동)
66,국군수도병원,종합병원,경기도 성남시 분당구 새마을로 177번길 81
67,빛고을전남대학교병원,종합병원,광주광역시 남구 덕남길80
68,목포시의료원,종합병원,전라남도 목포시 용해동 133-1번지
69,창원경상국립대학교병원,종합병원,경남 창원시 성산구 삼정자로 11
70,영주적십자병원,종합병원,경북 영주시 대학로327
71,성남시의료원,종합병원,성남시 수정구 수정로 171번길 10
72,세종충남대학교병원,종합병원,세종특별자치시 보듬7로 20
