업종명,사업장명,골프장면적,골프장홀수,정제도로명주소,정제지번주소,정제우편번호,정제WGS84경도,정제WGS84위도
비회원제,더반,299311,9,경기도 이천시 대월면 대월로 627-141,경기도 이천시 대월면 도리리 66번지,17401,127.4922012354,37.2092448031
비회원제,사우스스프링스,975509,18,경기도 이천시 모가면 공원로 64,경기도 이천시 모가면 소고리 640-6번지,17407,127.4509752934,37.1751975377
회원제,블랙스톤,874136,18,경기도 이천시 장호원읍 장여로 459-160,경기도 이천시 장호원읍 풍계리 41-41번지,17414,127.6178657976,37.1615917511
비회원제,마이다스,1386077,27,경기도 이천시 설성면 설가로 602,경기도 이천시 설성면 송계리 산25-1번지,17409,127.5244454250,37.1771071456
비회원제,이천실크밸리,1379636,27,경기도 이천시 율면 고월로179번길 120,경기도 이천시 율면 월포리 714-34번지,17423,127.5678906500,37.0838650595
회원제,안성,1088870,18,경기도 안성시 죽산면 걸미로 487,경기도 안성시 죽산면 장계리 799-16번지,17522,127.4131912627,37.0385737233
비회원제,안성베네스트(비회원),505924,9,경기도 안성시 금광면 삼흥로 660,경기도 안성시 금광면 삼흥리 산1번지,17534,127.3855343253,37.0203141752
회원제,신안,1102867,18,경기도 안성시 고삼면 개울말길 149,경기도 안성시 고삼면 가유리 950번지,17505,127.2544108678,37.0927706903
비회원제,파인크리크,1537924,27,경기도 안성시 양성면 안성맞춤대로 2417-13,경기도 안성시 양성면 노곡리 701-3번지,17500,127.2341073898,37.1034989387
비회원제,윈체스트,826514,18,경기도 안성시 서운면 오촌길 97-31,경기도 안성시 서운면 오촌리 173-4번지,17606,127.2818658523,36.9595919551
비회원제,루나힐스안성,1189332,18,,경기도 안성시 양성면 미산리 산28번지,17500,127.2611745556,37.1173983993
비회원제,이글몬트,1624241,27,경기도 안성시 보개면 보삼로 106,경기도 안성시 보개면 동평리 1번지,17506,127.3290805161,37.0940556436
회원제,리베라,1613247,36,경기도 화성시 중리길 183,경기도 화성시 청계동 510-385번지,18482,127.1127726162,37.1902775299
회원제,발리오스,782451,18,경기도 화성시 팔탄면 3.1만세로 641-28,경기도 화성시 팔탄면 화당리 256-5번지,18578,126.8604049669,37.1165487427
비회원제,발리오스(비회원),259795,9,경기도 화성시 팔탄면 3.1만세로 641-28,경기도 화성시 팔탄면 화당리 256-5번지,18578,126.8604049669,37.1165487427
비회원제,상록,1472080,27,경기도 화성시 풀무골로60번길 80,경기도 화성시 중동 산170번지,18465,127.1333473037,37.1970494680
비회원제,화성,199267,9,경기도 화성시 남양읍 화성로 1393-27,경기도 화성시 남양읍 북양리 172-7번지,18254,126.8350207515,37.2247484015
회원제,중부,1091138,18,경기도 광주시 곤지암읍 경충대로 451,경기도 광주시 곤지암읍 곤지암리 26-1번지,12812,127.3574515981,37.3382398416
회원제,곤지암,1038998,18,경기도 광주시 도척면 도척윗로 280,경기도 광주시 도척면 도웅리 210-2번지,12809,127.2954648963,37.3332994384
회원제,강남300,830063,18,경기도 광주시 새말길 353,경기도 광주시 목동 497-6번지,12770,127.1823773538,37.3869526836
회원제,이스트밸리,1543334,27,경기도 광주시 곤지암읍 건업길 195,경기도 광주시 곤지암읍 건업리 4-43번지,12720,127.3861631015,37.4034321409
회원제,그린힐,862228,18,경기도 광주시 곤지암읍 내선길 176,경기도 광주시 곤지암읍 이선리 5-27번지,12725,127.4247138204,37.3595294873
회원제,솔모로,1924173,36,경기도 여주시 가남읍 솔모로그린길 171,경기도 여주시 가남읍 양귀리 산69번지,12656,127.5883362256,37.1920131796
회원제,남서울,968466,18,경기도 성남시 분당구 판교백현로 161,경기도 성남시 분당구 백현동 511-25번지,13541,127.0839756661,37.3826092729
회원제,제일,1457402,27,경기도 안산시 상록구 태마당로 28,경기도 안산시 상록구 부곡동 587번지,15308,126.8643211129,37.3302001597
비회원제,아일랜드,1147235,27,경기도 안산시 단원구 대선로 466,경기도 안산시 단원구 대부남동 1369번지,15647,126.5654892796,37.2290576811
비회원제,솔트베이,651583,18,경기도 시흥시 마유로 987,경기도 시흥시 장곡동 855번지,14970,126.7773182936,37.3910929635
비회원제,아세코밸리,189464,9,경기도 시흥시 마전로 307,경기도 시흥시 거모동 121-1번지,15003,126.7713755012,37.3678102711
회원제,캐슬렉스,1756532,18,경기도 하남시 감이로 317,경기도 하남시 감이동 260-1번지,13006,127.1684182949,37.4963589093
회원제,수원,1480410,36,경기도 용인시 기흥구 중부대로 495,경기도 용인시 기흥구 구갈동 258-1번지,16976,127.1203271101,37.2813345358
회원제,태광,1088973,27,경기도 용인시 기흥구 흥덕4로 77,경기도 용인시 기흥구 신갈동 506-1번지,16947,127.0890835842,37.2785710892
회원제,한성,1411398,27,경기도 용인시 기흥구 구교동로 151,경기도 용인시 기흥구 마북동 153-1번지,16901,127.1144691874,37.3107190211
회원제,남부,964521,18,경기도 용인시 기흥구 사은로 163,경기도 용인시 기흥구 보라동 1-35번지,17071,127.1186252961,37.2676098216
회원제,화산,1039272,18,경기도 용인시 처인구 이동읍 화산로 239,경기도 용인시 처인구 이동읍 화산리 129-64번지,17135,127.2336245196,37.1545903772
비회원제,코리아(비회원),229181,9,경기도 용인시 기흥구 기흥단지로 224,경기도 용인시 기흥구 고매동 279-13번지,17087,127.1190840589,37.2235328306
회원제,레이크사이드,1001737,18,경기도 용인시 처인구 모현읍 능원로 181,경기도 용인시 처인구 모현읍 능원리 산5-12번지,16887,127.1783872029,37.3213751410
회원제,지산,1527293,27,경기도 용인시 처인구 원삼면 죽양대로2000번길 60,경기도 용인시 처인구 원삼면 맹리 1-29번지,17165,127.3358408486,37.2098794831
회원제,블루원용인,1079798,18,경기도 용인시 처인구 원삼면 보개원삼로1534번길 40,경기도 용인시 처인구 원삼면 목신리 356-10번지,17170,127.3259391728,37.1341824910
비회원제,용인,221886,9,경기도 용인시 처인구 백암면 황새울로 255,경기도 용인시 처인구 백암면 석천리 747-1번지,17182,127.3440916262,37.1106175044
비회원제,해솔리아,1666810,27,경기도 용인시 처인구 이동읍 백자로 369,경기도 용인시 처인구 이동읍 서리 1222번지,17126,127.1868570836,37.2112379172
비회원제,세현,997843,18,경기도 용인시 처인구 이동읍 백자로 450,경기도 용인시 처인구 이동읍 서리 산70-3번지,17127,127.1885696632,37.1866700218
비회원제,뉴스프링빌(비회원),341179,9,경기도 이천시 모가면 사실로527번길 158,경기도 이천시 모가면 두미리 419번지,17406,127.4314045964,37.1542659198
비회원제,비에이비스타(비회원),476296,18,경기도 이천시 모가면 어농로 272,경기도 이천시 모가면 어농리 386-1번지,17406,127.4168818722,37.1805960356
회원제,웰링턴,1600069,27,경기도 이천시 모가면 사실로725번길 119-73,경기도 이천시 모가면 두미리 955번지,17406,127.4189648737,37.1711235970
비회원제,블랙스톤(비회원),487424,9,경기도 이천시 장호원읍 장여로 459-160,경기도 이천시 장호원읍 풍계리 41-41번지,17414,127.6178657976,37.1615917511
