"TERMN_ID","TERMN_STATN_NM","SBWL_NM","TERMN_ADDR","TERMN_TLNO","LSAT_CNTR_TLNO","TERMN_FXNO","TERMN_EMADD","TERMN_HMPG_URL","TERMN_TPCD","TRNSO_MEAN_TPCD","TERMN_XCRD","TERMN_YCRD","CITY_CD","ROAD_NM_ADDR","DATA_CONNO","OPERT_TPCD","OCCRR_DTM","CNTCT_BGN_DTM","CNTCT_PRCES_DTM","CNTCT_PRCES_STCD","TRNSA_ID"
4000062,수원종합버스터미널,수원,경기도 수원시 권선구 권선동 1189,"1688-5455","","","",http://www.suwonterminal.co.kr/,"0","4",313254,517057,"1100",경기도 수원시 권선구 경수대로 270,1000,I,"20191127122825","20191210023800","20191210023813",F,ptp_tx_191210143800001000
4000064,순천종합버스터미널,순천,전라남도 순천시 장천동 18-22,"1666-6563","","","","","0","4",353746,261123,"5040",전라남도 순천시 장천3길 13,1001,I,"20191127122825","20191210023800","20191210023813",F,ptp_tx_191210143800001000
4000067,안동터미널,안동,경상북도 안동시 송현동 713-6,"1688-8228","","","",http://www.andongbus.co.kr,"0","4",460694,441725,"4070",경상북도 안동시 경동로 130,1002,I,"20191127122825","20191210023800","20191210023813",F,ptp_tx_191210143800001000
4000070,안성종합버스터미널,안성,경기도 안성시 가사동 182,"1688-1845","","","",http://www.anseongtr.co.kr,"0","4",337330,490312,"1270",경기도 안성시 비봉로 85,1003,I,"20191127122825","20191210023800","20191210023813",F,ptp_tx_191210143800001000
4000074,여주종합터미널,여주,경기도 여주시 홍문동 274-1,"1688-6512","","","","","0","4",367854,520986,"1310",경기도 여주시 세종로 85,1004,I,"20191127122825","20191210023800","20191210023813",F,ptp_tx_191210143800001000
4000077,영광종합버스터미널,영광,전라남도 영광군 영광읍 신하리 10-1,"1666-3360","","","","","0","4",263908,298453,"5140",전라남도 영광군 영광읍 신남로 180,1005,I,"20191127122825","20191210023800","20191210023813",F,ptp_tx_191210143800001000
4000080,영월시외버스터미널,영월,강원도 영월군 영월읍 하송리 187-1,"033-374-2451","","","","","0","4",441536,509169,"10090",강원도 영월군 영월읍 중앙1로 23,1006,I,"20191127122825","20191210023800","20191210023813",F,ptp_tx_191210143800001000
4000089,운천시외버스터미널,운천,경기도 포천시 영북면 운천리 510-13,"070-4045-5217","","","","","0","4",336508,609940,"1260",경기도 포천시 영북면 운천안길 33,1007,I,"20191127122825","20191210023800","20191210023813",F,ptp_tx_191210143800001000
4000097,인천종합터미널,인천,인천광역시 미추홀구 관교동 15,"1666-7114","","","",http://www.intis.or.kr/trafficwayinfo/express_list.do,"0","4",285293,538508,"2000",인천광역시 미추홀구 연남로 35,1008,I,"20191127122825","20191210023800","20191210023813",F,ptp_tx_191210143800001000
4000099,장성공용버스터미널,장성,전라남도 장성군 장성읍 영천리 931,"1666-6620","","","","","0","4",289293,300421,"5170",전라남도 장성군 장성읍 영천로 125,1009,I,"20191127122825","20191210023800","20191210023813",F,ptp_tx_191210143800001000
4000107,지도여객자동차터미널,지도,전라남도 신안군 지도읍 읍내리 290-1,"061-275-3033","","","","","0","4",237024,274882,"5130",전라남도 신안군 지도읍 해제지도로 1240,1010,I,"20191127122825","20191210023800","20191210023813",F,ptp_tx_191210143800001000
4000108,신철원시외버스터미널,신철원,강원도 철원군 갈말읍 신철원리 977-8,"033-452-2551","","","","","0","4",339551,616053,"10110",강원도 철원군 갈말읍 명성로 154,1011,I,"20191127122825","20191210023800","20191210023813",F,ptp_tx_191210143800001000
4000109,진도공용터미널,진도,전라남도 진도군 진도읍 남동리 782-1,"061-544-2121","","","","","0","4",240689,210355,"5190",전라남도 진도군 진도읍 남문길 5,1012,I,"20191127122825","20191210023800","20191210023813",F,ptp_tx_191210143800001000
4000112,창원종합버스터미널,창원,경상남도 창원시 의창구 팔용동 35,"1688-0882","","","",http://www.changwonbus.com/,"0","4",458390,293219,"7090",경상남도 창원시 의창구 창원대로 371,1013,I,"20191127122825","20191210023800","20191210023813",F,ptp_tx_191210143800001000
4000120,청평터미널,청평,경기도 가평군 청평면 청평리 432-24,"031-584-0239","","","","","0","4",349126,570787,"1180",경기도 가평군 청평면 청평중앙로 54,1014,I,"20191127122825","20191210023800","20191210023813",F,ptp_tx_191210143800001000
4000122,충주공용버스터미널,충주,충청북도 충주시 칠금동 849,"043-845-0001","","","",http://www.cjterminal.co.kr/,"0","4",392567,486681,"11010",충청북도 충주시 봉계1길 49,1015,I,"20191127122825","20191210023800","20191210023813",F,ptp_tx_191210143800001000
4000124,통영종합버스터미널,통영,경상남도 통영시 광도면 죽림리 1569,"1688-0017","","","",https://www.bustago.or.kr/,"0","4",438308,254152,"7100",경상남도 통영시 광도면 죽림4로 24,1016,I,"20191127122825","20191210023800","20191210023813",F,ptp_tx_191210143800001000
4000127,포천시외버스터미널,포천,경기도 포천시 신읍동 42-11,"1666-5068","","","","","0","4",330153,588616,"1260",경기도 포천시 중앙로 126-7,1017,I,"20191127122825","20191210023800","20191210023813",F,ptp_tx_191210143800001000
4000130,해남종합버스터미널,해남,전라남도 해남군 해남읍 해리 401,"1666-0884","","","","","0","4",272469,220077,"5210",전라남도 해남군 해남읍 해남로 8,1018,I,"20191127122825","20191210023800","20191210023813",F,ptp_tx_191210143800001000
