본부명,지사명,영업소명,전화번호,팩스번호,우편번호,주소
수도권,인천,인천,032-718-2190,032-717-4190,21077,인천광역시 계양구 경인고속도로 17
수도권,인천,김포,031-327-2101,031-894-4101,10133,경기도 김포시 김포대로 319번길 209-23
수도권,시흥,서서울,031-327-2103,031-894-4103,15208,경기도 안산시 상록구 장하로 141-2
수도권,시흥,시흥,031-327-2104,031-894-4104,14924,경기도 시흥시 서해안로 1780번길94
수도권,시흥,남인천,032-718-2191,032-717-4191,21601,인천광역시 남동구 음실로 117번길 32
수도권,군포,군자,031-327-2105,031-894-4105,15004,경기도 시흥시 군자로335번길 36-29
수도권,군포,서안산,031-327-2106,031-894-4106,15210,경기도 안산시 단원구 시흥대로 19-30
수도권,군포,안산,031-327-2107,031-894-4107,15208,경기도 안산시 오리골길 15-1
수도권,군포,군포,031-327-2112,031-894-4112,15884,경기도 군포시 영동고속도로 26
수도권,군포,동군포,031-327-2111,031-894-4111,15878,경기도 군포시 영동고속도로 25
수도권,군포,부곡,031-327-2110,031-894-4110,16079,경기도 의왕시 덕영대로 77
수도권,군포,북수원,031-327-2109,031-894-4109,16201,경기도 수원시 장안구 영동고속도로 31
수도권,군포,동수원,031-327-2108,031-894-4108,16226,경기도 수원시 영통구 영동고속도로 36
수도권,군포,마성,031-327-2113,031-894-4113,17024,경기도 용인시 처인구 포곡읍 마성로 1
수도권,화성,서평택,031-327-2117,031-894-4117,17951,경기도 평택시 포승읍 포승향남로 194-88
수도권,화성,발안,031-327-2116,031-894-4116,18534,경기도 화성시 팔탄면 3.1만세로 879-40(매곡리 44-1)
수도권,화성,비봉,031-327-2115,031-894-4115,18291,경기도 화성시 비봉면 화성로 2011(구포리 58-3)
수도권,화성,매송,031-327-2114,031-894-4114,18286,경기도 화성시 매송면 푸른들판로 2060(송라리 산17-1)
수도권,화성,청북,031-327-2118,031-894-4118,17794,경기도 평택시 청북읍 서해로 1865-90
수도권,화성,평택고덕,031-327-2123,031-894-4123,17821,경기도 평택시 고덕면 궁2길 37-84
수도권,화성,송탄,031-327-2119,031-894-4119,17725,경기도 평택시 청원로 1744-73(도일동 산219-2)
수도권,화성,서안성,031-327-2120,031-894-4120,17555,경기도 안성시 원곡면 평택제천고속도로 25
수도권,화성,남안성,031-327-2121,031-894-4121,17600,경기도 안성시 미양면 평택제천고속도로 35
수도권,화성,평택,031-327-2122,031-894-4122,17798,경기도 평택시 청북읍 백봉길 178-54(백봉리 646-1)
수도권,수원,오산,031-327-2128,031-894-4128,18150,경기도 오산시 원동로 105(원동)
